pgbench (18.3)
starting vacuum...end.
progress: 780.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 790.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 800.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 810.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 820.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 830.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 840.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 850.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 860.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 870.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 880.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 890.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 900.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 910.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 920.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 930.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 940.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 950.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 960.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 970.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 980.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 990.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1000.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1010.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1020.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1030.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1040.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1050.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1060.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1070.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1080.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1090.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1100.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1110.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1120.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1130.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1140.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1150.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1160.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1170.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1180.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1190.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1200.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1210.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1220.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1230.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1240.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1250.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1260.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1270.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1280.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1290.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1300.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1310.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1320.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1330.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1340.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
progress: 1350.0 s, 0.0 tps, lat 0.000 ms stddev 0.000, 0 failed
